"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence"
"406 DOWN","13.13214","77.40298","69"
"406 UP","13.15031","77.56912","69"
"406 DOWN","13.1329","77.40401","70"
"406 UP","13.15072","77.569","70"
"406 DOWN","13.13332","77.40451","71"
"406 UP","13.15135","77.56886","71"
"406 DOWN","13.13419","77.40567","72"
"406 UP","13.15211","77.56866","72"
"406 DOWN","13.13463","77.40621","73"
"406 UP","13.15255","77.56855","73"
"406 DOWN","13.13517","77.40672","74"
"406 UP","13.15333","77.56832","74"
"406 DOWN","13.13541","77.40691","75"
"406 UP","13.15381","77.56819","75"
"406 DOWN","13.13588","77.40733","76"
"406 UP","13.15403","77.56814","76"
"406 DOWN","13.1374","77.40856","77"
"406 UP","13.15488","77.5679","77"
"406 DOWN","13.13771","77.40884","78"
"406 UP","13.15608","77.56754","78"
"406 DOWN","13.13808","77.40911","79"
"406 UP","13.15693","77.56732","79"
"406 DOWN","13.14031","77.41038","80"
"406 UP","13.15771","77.56709","80"
"406 DOWN","13.14073","77.41065","81"
"406 UP","13.15847","77.56689","81"
"406 DOWN","13.1415","77.41108","82"
"406 UP","13.15906","77.56675","82"
"406 DOWN","13.1417","77.4112","83"
"406 UP","13.15979","77.56657","83"
"406 DOWN","13.1419","77.41131","84"
"406 UP","13.1608","77.56636","84"
"406 DOWN","13.14241","77.41161","85"
"406 UP","13.16101","77.56631","85"
"406 DOWN","13.14348","77.41222","86"
"406 UP","13.16321","77.56586","86"
"406 DOWN","13.14372","77.41231","87"
"406 UP","13.16418","77.56566","87"
"406 DOWN","13.14406","77.41231","88"
"406 UP","13.16452","77.56557","88"
"406 DOWN","13.1452","77.41219","89"
"406 UP","13.16707","77.56506","89"
"406 DOWN","13.14582","77.41212","90"
"406 UP","13.16881","77.56466","90"
"406 DOWN","13.14611","77.4121","91"
"406 UP","13.16976","77.56447","91"
"406 DOWN","13.14676","77.41205","92"
"406 UP","13.17033","77.5644","92"
"406 DOWN","13.14725","77.41203","93"
"406 UP","13.17142","77.56436","93"
"406 DOWN","13.14754","77.412","94"
"406 UP","13.17182","77.56434","94"
"406 DOWN","13.14789","77.41193","95"
"406 UP","13.17293","77.56432","95"
"406 DOWN","13.149","77.41185","96"
"406 UP","13.17257","77.56267","96"
"406 DOWN","13.14914","77.41183","97"
"406 UP","13.17256","77.5626","97"
"406 DOWN","13.15009","77.41177","98"
"406 UP","13.17258","77.56252","98"
"406 DOWN","13.15035","77.41179","99"
"406 UP","13.17232","77.5613","99"
"406 DOWN","13.15051","77.41183","100"
"406 UP","13.1722","77.56083","100"
"406 DOWN","13.15057","77.41186","101"
"406 UP","13.17198","77.55984","101"
"406 DOWN","13.15052","77.41199","102"
"406 UP","13.17193","77.55955","102"
"406 DOWN","13.15031","77.41224","103"
"406 UP","13.17145","77.55759","103"
"406 DOWN","13.15003","77.41254","104"
"406 UP","13.17139","77.5575","104"
"406 DOWN","13.14942","77.41311","105"
"406 UP","13.17088","77.55538","105"
"406 DOWN","13.14942","77.41318","106"
"406 UP","13.17075","77.55478","106"
"406 DOWN","13.14948","77.41332","107"
"406 UP","13.17023","77.55271","107"
"406 DOWN","13.14966","77.41353","108"
"406 UP","13.17011","77.55201","108"
"406 DOWN","13.15082","77.4123","109"
"406 UP","13.16998","77.55083","109"
"406 DOWN","13.151","77.41213","110"
"406 UP","13.16998","77.55069","110"
"406 DOWN","13.15127","77.41217","111"
"406 UP","13.17003","77.5504","111"
"406 DOWN","13.15327","77.41212","112"
"406 UP","13.17009","77.5503","112"
"406 DOWN","13.15355","77.41209","113"
"406 UP","13.17013","77.55012","113"
"406 DOWN","13.15646","77.41201","114"
"406 UP","13.17032","77.54963","114"
"406 DOWN","13.15769","77.41189","115"
